# Attribute keys of go.opentelemetry.io/otel/semconv/v1.43.0, from module go.opentelemetry.io/otel v1.46.0.
# Columns: attribute<TAB>go constant.
android.app.state	AndroidAppStateKey
android.os.api_level	AndroidOSAPILevelKey
app.build_id	AppBuildIDKey
app.crash.id	AppCrashIDKey
app.installation.id	AppInstallationIDKey
app.jank.frame_count	AppJankFrameCountKey
app.jank.period	AppJankPeriodKey
app.jank.threshold	AppJankThresholdKey
app.screen.coordinate.x	AppScreenCoordinateXKey
app.screen.coordinate.y	AppScreenCoordinateYKey
app.screen.id	AppScreenIDKey
app.screen.name	AppScreenNameKey
app.widget.id	AppWidgetIDKey
app.widget.name	AppWidgetNameKey
artifact.attestation.filename	ArtifactAttestationFilenameKey
artifact.attestation.hash	ArtifactAttestationHashKey
artifact.attestation.id	ArtifactAttestationIDKey
artifact.filename	ArtifactFilenameKey
artifact.hash	ArtifactHashKey
artifact.purl	ArtifactPurlKey
artifact.version	ArtifactVersionKey
aws.bedrock.guardrail.id	AWSBedrockGuardrailIDKey
aws.bedrock.knowledge_base.id	AWSBedrockKnowledgeBaseIDKey
aws.dynamodb.attribute_definitions	AWSDynamoDBAttributeDefinitionsKey
aws.dynamodb.attributes_to_get	AWSDynamoDBAttributesToGetKey
aws.dynamodb.consistent_read	AWSDynamoDBConsistentReadKey
aws.dynamodb.consumed_capacity	AWSDynamoDBConsumedCapacityKey
aws.dynamodb.count	AWSDynamoDBCountKey
aws.dynamodb.exclusive_start_table	AWSDynamoDBExclusiveStartTableKey
aws.dynamodb.global_secondary_index_updates	AWSDynamoDBGlobalSecondaryIndexUpdatesKey
aws.dynamodb.global_secondary_indexes	AWSDynamoDBGlobalSecondaryIndexesKey
aws.dynamodb.index_name	AWSDynamoDBIndexNameKey
aws.dynamodb.item_collection_metrics	AWSDynamoDBItemCollectionMetricsKey
aws.dynamodb.limit	AWSDynamoDBLimitKey
aws.dynamodb.local_secondary_indexes	AWSDynamoDBLocalSecondaryIndexesKey
aws.dynamodb.projection	AWSDynamoDBProjectionKey
aws.dynamodb.provisioned_read_capacity	AWSDynamoDBProvisionedReadCapacityKey
aws.dynamodb.provisioned_write_capacity	AWSDynamoDBProvisionedWriteCapacityKey
aws.dynamodb.scan_forward	AWSDynamoDBScanForwardKey
aws.dynamodb.scanned_count	AWSDynamoDBScannedCountKey
aws.dynamodb.segment	AWSDynamoDBSegmentKey
aws.dynamodb.select	AWSDynamoDBSelectKey
aws.dynamodb.table_count	AWSDynamoDBTableCountKey
aws.dynamodb.table_names	AWSDynamoDBTableNamesKey
aws.dynamodb.total_segments	AWSDynamoDBTotalSegmentsKey
aws.ecs.cluster.arn	AWSECSClusterARNKey
aws.ecs.container.arn	AWSECSContainerARNKey
aws.ecs.launchtype	AWSECSLaunchtypeKey
aws.ecs.task.arn	AWSECSTaskARNKey
aws.ecs.task.family	AWSECSTaskFamilyKey
aws.ecs.task.id	AWSECSTaskIDKey
aws.ecs.task.revision	AWSECSTaskRevisionKey
aws.eks.cluster.arn	AWSEKSClusterARNKey
aws.extended_request_id	AWSExtendedRequestIDKey
aws.kinesis.stream_name	AWSKinesisStreamNameKey
aws.lambda.invoked_arn	AWSLambdaInvokedARNKey
aws.lambda.resource_mapping.id	AWSLambdaResourceMappingIDKey
aws.log.group.arns	AWSLogGroupARNsKey
aws.log.group.names	AWSLogGroupNamesKey
aws.log.stream.arns	AWSLogStreamARNsKey
aws.log.stream.names	AWSLogStreamNamesKey
aws.request_id	AWSRequestIDKey
aws.s3.bucket	AWSS3BucketKey
aws.s3.copy_source	AWSS3CopySourceKey
aws.s3.delete	AWSS3DeleteKey
aws.s3.key	AWSS3KeyKey
aws.s3.part_number	AWSS3PartNumberKey
aws.s3.upload_id	AWSS3UploadIDKey
aws.secretsmanager.secret.arn	AWSSecretsmanagerSecretARNKey
aws.sns.topic.arn	AWSSNSTopicARNKey
aws.sqs.queue.url	AWSSQSQueueURLKey
aws.step_functions.activity.arn	AWSStepFunctionsActivityARNKey
aws.step_functions.state_machine.arn	AWSStepFunctionsStateMachineARNKey
azure.client.id	AzureClientIDKey
azure.cosmosdb.connection.mode	AzureCosmosDBConnectionModeKey
azure.cosmosdb.consistency.level	AzureCosmosDBConsistencyLevelKey
azure.cosmosdb.operation.contacted_regions	AzureCosmosDBOperationContactedRegionsKey
azure.cosmosdb.operation.request_charge	AzureCosmosDBOperationRequestChargeKey
azure.cosmosdb.request.body.size	AzureCosmosDBRequestBodySizeKey
azure.cosmosdb.response.sub_status_code	AzureCosmosDBResponseSubStatusCodeKey
azure.resource_group.name	AzureResourceGroupNameKey
azure.resource_provider.namespace	AzureResourceProviderNamespaceKey
azure.service.request.id	AzureServiceRequestIDKey
browser.brands	BrowserBrandsKey
browser.document.url.full	BrowserDocumentURLFullKey
browser.language	BrowserLanguageKey
browser.mobile	BrowserMobileKey
browser.platform	BrowserPlatformKey
cassandra.consistency.level	CassandraConsistencyLevelKey
cassandra.coordinator.dc	CassandraCoordinatorDCKey
cassandra.coordinator.id	CassandraCoordinatorIDKey
cassandra.page.size	CassandraPageSizeKey
cassandra.query.idempotent	CassandraQueryIdempotentKey
cassandra.speculative_execution.count	CassandraSpeculativeExecutionCountKey
cicd.pipeline.action.name	CICDPipelineActionNameKey
cicd.pipeline.name	CICDPipelineNameKey
cicd.pipeline.result	CICDPipelineResultKey
cicd.pipeline.run.id	CICDPipelineRunIDKey
cicd.pipeline.run.state	CICDPipelineRunStateKey
cicd.pipeline.run.url.full	CICDPipelineRunURLFullKey
cicd.pipeline.task.name	CICDPipelineTaskNameKey
cicd.pipeline.task.run.id	CICDPipelineTaskRunIDKey
cicd.pipeline.task.run.result	CICDPipelineTaskRunResultKey
cicd.pipeline.task.run.url.full	CICDPipelineTaskRunURLFullKey
cicd.pipeline.task.type	CICDPipelineTaskTypeKey
cicd.system.component	CICDSystemComponentKey
cicd.worker.id	CICDWorkerIDKey
cicd.worker.name	CICDWorkerNameKey
cicd.worker.state	CICDWorkerStateKey
cicd.worker.url.full	CICDWorkerURLFullKey
client.address	ClientAddressKey
client.port	ClientPortKey
cloud.account.id	CloudAccountIDKey
cloud.availability_zone	CloudAvailabilityZoneKey
cloud.platform	CloudPlatformKey
cloud.provider	CloudProviderKey
cloud.region	CloudRegionKey
cloud.resource_id	CloudResourceIDKey
cloudevents.event_id	CloudEventsEventIDKey
cloudevents.event_source	CloudEventsEventSourceKey
cloudevents.event_spec_version	CloudEventsEventSpecVersionKey
cloudevents.event_subject	CloudEventsEventSubjectKey
cloudevents.event_type	CloudEventsEventTypeKey
cloudfoundry.app.id	CloudFoundryAppIDKey
cloudfoundry.app.instance.id	CloudFoundryAppInstanceIDKey
cloudfoundry.app.name	CloudFoundryAppNameKey
cloudfoundry.org.id	CloudFoundryOrgIDKey
cloudfoundry.org.name	CloudFoundryOrgNameKey
cloudfoundry.process.id	CloudFoundryProcessIDKey
cloudfoundry.process.type	CloudFoundryProcessTypeKey
cloudfoundry.space.id	CloudFoundrySpaceIDKey
cloudfoundry.space.name	CloudFoundrySpaceNameKey
cloudfoundry.system.id	CloudFoundrySystemIDKey
cloudfoundry.system.instance.id	CloudFoundrySystemInstanceIDKey
code.column.number	CodeColumnNumberKey
code.file.path	CodeFilePathKey
code.function.name	CodeFunctionNameKey
code.line.number	CodeLineNumberKey
code.stacktrace	CodeStacktraceKey
container.command	ContainerCommandKey
container.command_args	ContainerCommandArgsKey
container.command_line	ContainerCommandLineKey
container.csi.plugin.name	ContainerCSIPluginNameKey
container.csi.volume.id	ContainerCSIVolumeIDKey
container.id	ContainerIDKey
container.image.id	ContainerImageIDKey
container.image.name	ContainerImageNameKey
container.image.repo_digests	ContainerImageRepoDigestsKey
container.image.tags	ContainerImageTagsKey
container.name	ContainerNameKey
container.runtime.description	ContainerRuntimeDescriptionKey
container.runtime.name	ContainerRuntimeNameKey
container.runtime.version	ContainerRuntimeVersionKey
cpu.logical_number	CPULogicalNumberKey
cpu.mode	CPUModeKey
db.client.connection.pool.name	DBClientConnectionPoolNameKey
db.client.connection.state	DBClientConnectionStateKey
db.collection.name	DBCollectionNameKey
db.namespace	DBNamespaceKey
db.operation.batch.size	DBOperationBatchSizeKey
