android.app.state	Development
android.os.api_level	Development
app.build_id	Development
app.crash.id	Development
app.installation.id	Development
app.jank.frame_count	Development
app.jank.period	Development
app.jank.threshold	Development
app.screen.coordinate.x	Development
app.screen.coordinate.y	Development
app.screen.id	Development
app.screen.name	Development
app.widget.id	Development
app.widget.name	Development
artifact.attestation.filename	Development
artifact.attestation.hash	Development
artifact.attestation.id	Development
artifact.filename	Development
artifact.hash	Development
artifact.purl	Development
artifact.version	Development
aws.bedrock.guardrail.id	Development
aws.bedrock.knowledge_base.id	Development
aws.dynamodb.attribute_definitions	Development
aws.dynamodb.attributes_to_get	Development
aws.dynamodb.consistent_read	Development
aws.dynamodb.consumed_capacity	Development
aws.dynamodb.count	Development
aws.dynamodb.exclusive_start_table	Development
aws.dynamodb.global_secondary_index_updates	Development
aws.dynamodb.global_secondary_indexes	Development
aws.dynamodb.index_name	Development
aws.dynamodb.item_collection_metrics	Development
aws.dynamodb.limit	Development
aws.dynamodb.local_secondary_indexes	Development
aws.dynamodb.projection	Development
aws.dynamodb.provisioned_read_capacity	Development
aws.dynamodb.provisioned_write_capacity	Development
aws.dynamodb.scan_forward	Development
aws.dynamodb.scanned_count	Development
aws.dynamodb.segment	Development
aws.dynamodb.select	Development
aws.dynamodb.table_count	Development
aws.dynamodb.table_names	Development
aws.dynamodb.total_segments	Development
aws.ecs.cluster.arn	Development
aws.ecs.container.arn	Development
aws.ecs.launchtype	Development
aws.ecs.task.arn	Development
aws.ecs.task.family	Development
aws.ecs.task.id	Development
aws.ecs.task.revision	Development
aws.eks.cluster.arn	Development
aws.extended_request_id	Development
aws.kinesis.stream_name	Development
aws.lambda.invoked_arn	Development
aws.lambda.resource_mapping.id	Development
aws.log.group.arns	Development
aws.log.group.names	Development
aws.log.stream.arns	Development
aws.log.stream.names	Development
aws.request_id	Development
aws.s3.bucket	Development
aws.s3.copy_source	Development
aws.s3.delete	Development
aws.s3.key	Development
aws.s3.part_number	Development
aws.s3.upload_id	Development
aws.secretsmanager.secret.arn	Development
aws.sns.topic.arn	Development
aws.sqs.queue.url	Development
aws.step_functions.activity.arn	Development
aws.step_functions.state_machine.arn	Development
azure.client.id	Development
azure.cosmosdb.connection.mode	Development
azure.cosmosdb.consistency.level	Development
azure.cosmosdb.operation.contacted_regions	Development
azure.cosmosdb.operation.request_charge	Development
azure.cosmosdb.request.body.size	Development
azure.cosmosdb.response.sub_status_code	Development
azure.resource_group.name	Development
azure.resource_provider.namespace	Development
azure.service.request.id	Development
browser.brands	Development
browser.document.url.full	Development
browser.language	Development
browser.mobile	Development
browser.platform	Development
cassandra.consistency.level	Development
cassandra.coordinator.dc	Development
cassandra.coordinator.id	Development
cassandra.page.size	Development
cassandra.query.idempotent	Development
cassandra.speculative_execution.count	Development
cicd.pipeline.action.name	Release_Candidate
cicd.pipeline.name	Release_Candidate
cicd.pipeline.result	Release_Candidate
cicd.pipeline.run.id	Release_Candidate
cicd.pipeline.run.state	Release_Candidate
cicd.pipeline.run.url.full	Release_Candidate
cicd.pipeline.task.name	Release_Candidate
cicd.pipeline.task.run.id	Release_Candidate
cicd.pipeline.task.run.result	Release_Candidate
cicd.pipeline.task.run.url.full	Release_Candidate
cicd.pipeline.task.type	Release_Candidate
cicd.system.component	Release_Candidate
cicd.worker.id	Release_Candidate
cicd.worker.name	Release_Candidate
cicd.worker.state	Release_Candidate
cicd.worker.url.full	Release_Candidate
client.address	Stable
client.port	Stable
cloud.account.id	Development
cloud.availability_zone	Development
cloud.platform	Development
cloud.provider	Development
cloud.region	Development
cloud.resource_id	Development
cloudevents.event_id	Development
cloudevents.event_source	Development
cloudevents.event_spec_version	Development
cloudevents.event_subject	Development
cloudevents.event_type	Development
cloudfoundry.app.id	Development
cloudfoundry.app.instance.id	Development
cloudfoundry.app.name	Development
cloudfoundry.org.id	Development
cloudfoundry.org.name	Development
cloudfoundry.process.id	Development
cloudfoundry.process.type	Development
cloudfoundry.space.id	Development
cloudfoundry.space.name	Development
cloudfoundry.system.id	Development
cloudfoundry.system.instance.id	Development
code.column.number	Stable
code.file.path	Stable
code.function.name	Stable
code.line.number	Stable
code.stacktrace	Stable
container.command	Development
container.command_args	Development
container.command_line	Development
container.csi.plugin.name	Development
container.csi.volume.id	Development
container.id	Stable
container.image.id	Development
container.image.name	Stable
container.image.repo_digests	Stable
container.image.tags	Stable
container.name	Development
container.runtime.description	Development
container.runtime.name	Development
container.runtime.version	Development
cpu.logical_number	Development
cpu.mode	Release_Candidate
db.client.connection.pool.name	Development
db.client.connection.state	Development
db.collection.name	Stable
db.namespace	Stable
db.operation.batch.size	Stable
db.operation.name	Stable
db.query.summary	Stable
db.query.text	Stable
db.response.returned_rows	Development
db.response.status_code	Stable
db.stored_procedure.name	Stable
db.system.name	Stable
deployment.environment.name	Stable
deployment.id	Development
deployment.name	Development
deployment.status	Development
destination.address	Development
destination.port	Development
device.id	Development
device.manufacturer	Development
device.model.identifier	Development
device.model.name	Development
disk.io.direction	Release_Candidate
dns.answers	Development
dns.question.name	Development
elasticsearch.node.name	Development
enduser.id	Development
enduser.pseudo.id	Development
error.type	Stable
exception.message	Stable
exception.stacktrace	Stable
exception.type	Stable
faas.coldstart	Development
faas.cron	Development
faas.document.collection	Development
faas.document.name	Development
faas.document.operation	Development
faas.document.time	Development
faas.instance	Development
faas.invocation_id	Development
faas.invoked_name	Development
faas.invoked_provider	Development
faas.invoked_region	Development
faas.max_memory	Development
faas.name	Development
faas.time	Development
faas.trigger	Development
faas.version	Development
feature_flag.context.id	Release_Candidate
feature_flag.error.message	Release_Candidate
feature_flag.key	Release_Candidate
feature_flag.provider.name	Release_Candidate
feature_flag.result.reason	Release_Candidate
feature_flag.result.value	Release_Candidate
feature_flag.result.variant	Release_Candidate
feature_flag.set.id	Release_Candidate
feature_flag.version	Release_Candidate
file.accessed	Development
file.attributes	Development
file.changed	Development
file.created	Development
file.directory	Development
file.extension	Development
file.fork_name	Development
file.group.id	Development
file.group.name	Development
file.inode	Development
file.lock.mechanism	Development
file.lock.mode	Development
file.lock.type	Development
file.mode	Development
file.modified	Development
file.name	Development
file.owner.id	Development
file.owner.name	Development
file.path	Development
file.size	Development
file.symbolic_link.target_path	Development
gcp.apphub.application.container	Development
gcp.apphub.application.id	Development
gcp.apphub.application.location	Development
gcp.apphub.service.criticality_type	Development
gcp.apphub.service.environment_type	Development
gcp.apphub.service.id	Development
gcp.apphub.workload.criticality_type	Development
gcp.apphub.workload.environment_type	Development
gcp.apphub.workload.id	Development
gcp.apphub_destination.application.container	Development
gcp.apphub_destination.application.id	Development
gcp.apphub_destination.application.location	Development
gcp.apphub_destination.service.criticality_type	Development
gcp.apphub_destination.service.environment_type	Development
gcp.apphub_destination.service.id	Development
gcp.apphub_destination.workload.criticality_type	Development
gcp.apphub_destination.workload.environment_type	Development
gcp.apphub_destination.workload.id	Development
gcp.client.service	Development
gcp.cloud_run.job.execution	Development
gcp.cloud_run.job.task_index	Development
gcp.gce.instance.hostname	Development
gcp.gce.instance.name	Development
gcp.gce.instance_group_manager.name	Development
gcp.gce.instance_group_manager.region	Development
gcp.gce.instance_group_manager.zone	Development
geo.continent.code	Development
geo.country.iso_code	Development
geo.locality.name	Development
geo.location.lat	Development
geo.location.lon	Development
geo.postal_code	Development
geo.region.iso_code	Development
go.cpu.detailed_state	Development
go.cpu.state	Development
go.memory.detailed_type	Development
go.memory.type	Development
graphql.document	Development
graphql.operation.name	Development
graphql.operation.type	Development
heroku.app.id	Development
heroku.release.commit	Development
heroku.release.creation_timestamp	Development
host.arch	Development
host.cpu.cache.l2.size	Development
host.cpu.family	Development
host.cpu.model.id	Development
host.cpu.model.name	Development
host.cpu.stepping	Development
host.cpu.vendor.id	Development
host.id	Development
host.image.id	Development
host.image.name	Development
host.image.version	Development
host.ip	Development
host.mac	Development
host.name	Development
host.type	Development
http.connection.state	Development
http.request.body.size	Development
http.request.method	Stable
http.request.method_original	Stable
http.request.resend_count	Stable
http.request.size	Development
http.response.body.size	Development
http.response.size	Development
http.response.status_code	Stable
http.route	Stable
hw.battery.capacity	Development
hw.battery.chemistry	Development
hw.battery.state	Development
hw.bios_version	Development
hw.driver_version	Development
hw.enclosure.type	Development
hw.firmware_version	Development
hw.gpu.task	Development
hw.id	Development
hw.limit_type	Development
hw.logical_disk.raid_level	Development
hw.logical_disk.state	Development
hw.memory.type	Development
hw.model	Development
hw.name	Development
hw.network.logical_addresses	Development
hw.network.physical_address	Development
hw.parent	Development
hw.physical_disk.smart_attribute	Development
hw.physical_disk.state	Development
hw.physical_disk.type	Development
hw.sensor_location	Development
hw.serial_number	Development
hw.state	Development
hw.tape_drive.operation_type	Development
hw.type	Development
hw.vendor	Development
ios.app.state	Development
jsonrpc.protocol.version	Development
jsonrpc.request.id	Development
k8s.cluster.name	Stable
k8s.cluster.uid	Stable
k8s.container.ephemeral_storage.fs_type	Development
k8s.container.name	Stable
k8s.container.restart_count	Stable
k8s.container.status.last_terminated_reason	Development
k8s.container.status.reason	Development
k8s.container.status.state	Development
k8s.cronjob.name	Stable
k8s.cronjob.uid	Stable
k8s.daemonset.name	Stable
k8s.daemonset.uid	Stable
k8s.deployment.name	Stable
k8s.deployment.uid	Stable
k8s.hpa.metric.type	Development
k8s.hpa.name	Development
k8s.hpa.scaletargetref.api_version	Development
k8s.hpa.scaletargetref.kind	Development
k8s.hpa.scaletargetref.name	Development
k8s.hpa.uid	Development
k8s.hugepage.size	Development
k8s.job.name	Stable
k8s.job.uid	Stable
k8s.namespace.name	Stable
k8s.namespace.phase	Development
k8s.node.condition.status	Development
k8s.node.condition.type	Development
k8s.node.name	Stable
k8s.node.system_container.name	Development
k8s.node.uid	Stable
k8s.persistentvolume.name	Development
k8s.persistentvolume.reclaim_policy	Development
k8s.persistentvolume.status.phase	Development
